year,edition,country,gold,silver,bronze,total,season
2012,2012 Summer Olympics,Portugal,0,1,0,1,Summer
2012,2012 Summer Olympics,Puerto Rico,0,1,1,2,Summer
2012,2012 Summer Olympics,Qatar,0,1,1,2,Summer
2012,2012 Summer Olympics,Republic of Korea,13,9,8,30,Summer
2012,2012 Summer Olympics,Romania,2,4,1,7,Summer
2012,2012 Summer Olympics,Russian Federation,18,21,26,65,Summer
2012,2012 Summer Olympics,Serbia,1,1,2,4,Summer
2012,2012 Summer Olympics,Singapore,0,0,2,2,Summer
2012,2012 Summer Olympics,Slovakia,0,1,3,4,Summer
2012,2012 Summer Olympics,Slovenia,1,1,2,4,Summer
2012,2012 Summer Olympics,South Africa,4,1,1,6,Summer
2012,2012 Summer Olympics,Spain,4,10,6,20,Summer
2012,2012 Summer Olympics,Sweden,1,4,3,8,Summer
2012,2012 Summer Olympics,Switzerland,2,2,0,4,Summer
2012,2012 Summer Olympics,Tajikistan,0,0,1,1,Summer
2012,2012 Summer Olympics,Thailand,0,2,2,4,Summer
2012,2012 Summer Olympics,The Bahamas,1,0,0,1,Summer
2012,2012 Summer Olympics,Trinidad and Tobago,1,1,2,4,Summer
2012,2012 Summer Olympics,Tunisia,2,0,1,3,Summer
2012,2012 Summer Olympics,Türkiye,1,1,1,3,Summer
2012,2012 Summer Olympics,Uganda,1,0,0,1,Summer
2012,2012 Summer Olympics,Ukraine,5,4,10,19,Summer
2012,2012 Summer Olympics,United States,48,26,30,104,Summer
2012,2012 Summer Olympics,Uzbekistan,0,0,3,3,Summer
2012,2012 Summer Olympics,Venezuela,1,0,0,1,Summer
2012,2012 Summer Olympics,Vietnam,0,0,1,1,Summer
2014,2014 Winter Olympics,Australia,0,2,1,3,Winter
2014,2014 Winter Olympics,Austria,4,8,5,17,Winter
2014,2014 Winter Olympics,Belarus,5,0,1,6,Winter
2014,2014 Winter Olympics,Canada,10,10,5,25,Winter
2014,2014 Winter Olympics,Croatia,0,1,0,1,Winter
2014,2014 Winter Olympics,Czechia,2,4,3,9,Winter
2014,2014 Winter Olympics,Finland,1,3,1,5,Winter
2014,2014 Winter Olympics,France,4,4,7,15,Winter
2014,2014 Winter Olympics,Germany,8,6,5,19,Winter
2014,2014 Winter Olympics,Great Britain,1,1,3,5,Winter
2014,2014 Winter Olympics,Italy,0,2,6,8,Winter
2014,2014 Winter Olympics,Japan,1,4,3,8,Winter
2014,2014 Winter Olympics,Kazakhstan,0,0,1,1,Winter
2014,2014 Winter Olympics,Latvia,1,1,3,5,Winter
2014,2014 Winter Olympics,Netherlands,8,7,9,24,Winter
2014,2014 Winter Olympics,Norway,11,6,9,26,Winter
2014,2014 Winter Olympics,People's Republic of China,3,4,2,9,Winter
2014,2014 Winter Olympics,Poland,4,1,1,6,Winter
2014,2014 Winter Olympics,Republic of Korea,3,3,2,8,Winter
2014,2014 Winter Olympics,Russian Federation,10,10,9,29,Winter
2014,2014 Winter Olympics,Slovakia,1,0,0,1,Winter
2014,2014 Winter Olympics,Slovenia,2,2,4,8,Winter
2014,2014 Winter Olympics,Sweden,2,7,6,15,Winter
2014,2014 Winter Olympics,Switzerland,7,2,2,11,Winter
2014,2014 Winter Olympics,Ukraine,1,0,1,2,Winter
2014,2014 Winter Olympics,United States,9,9,10,28,Winter
2016,2016 Summer Olympics,Algeria,0,2,0,2,Summer
2016,2016 Summer Olympics,Argentina,3,1,0,4,Summer
2016,2016 Summer Olympics,Armenia,1,3,0,4,Summer
2016,2016 Summer Olympics,Australia,8,11,10,29,Summer
2016,2016 Summer Olympics,Austria,0,0,1,1,Summer
2016,2016 Summer Olympics,Azerbaijan,1,7,10,18,Summer
2016,2016 Summer Olympics,Bahrain,1,1,0,2,Summer
2016,2016 Summer Olympics,Belarus,1,4,4,9,Summer
2016,2016 Summer Olympics,Belgium,2,2,2,6,Summer
2016,2016 Summer Olympics,Brazil,7,6,6,19,Summer
2016,2016 Summer Olympics,Bulgaria,0,1,2,3,Summer
2016,2016 Summer Olympics,Burundi,0,1,0,1,Summer
2016,2016 Summer Olympics,Canada,4,3,15,22,Summer
2016,2016 Summer Olympics,Chinese Taipei,1,0,2,3,Summer
2016,2016 Summer Olympics,Colombia,3,2,3,8,Summer
2016,2016 Summer Olympics,Croatia,5,3,2,10,Summer
2016,2016 Summer Olympics,Cuba,5,2,4,11,Summer
2016,2016 Summer Olympics,Czechia,1,2,7,10,Summer
2016,2016 Summer Olympics,Côte d'Ivoire,1,0,1,2,Summer
2016,2016 Summer Olympics,Democratic People's Republic of Korea,2,3,2,7,Summer
2016,2016 Summer Olympics,Denmark,2,6,7,15,Summer
2016,2016 Summer Olympics,Dominican Republic,0,0,1,1,Summer
2016,2016 Summer Olympics,Egypt,0,0,3,3,Summer
2016,2016 Summer Olympics,Estonia,0,0,1,1,Summer
2016,2016 Summer Olympics,Ethiopia,1,2,5,8,Summer
2016,2016 Summer Olympics,Fiji,1,0,0,1,Summer
2016,2016 Summer Olympics,Finland,0,0,1,1,Summer
2016,2016 Summer Olympics,France,10,18,14,42,Summer
2016,2016 Summer Olympics,Georgia,2,1,4,7,Summer
2016,2016 Summer Olympics,Germany,17,10,15,42,Summer
2016,2016 Summer Olympics,Great Britain,27,23,17,67,Summer
2016,2016 Summer Olympics,Greece,3,1,2,6,Summer
2016,2016 Summer Olympics,Grenada,0,1,0,1,Summer
2016,2016 Summer Olympics,Hungary,8,3,4,15,Summer
2016,2016 Summer Olympics,Independent Olympic Athletes,1,0,1,2,Summer
2016,2016 Summer Olympics,India,0,1,1,2,Summer
2016,2016 Summer Olympics,Indonesia,1,2,0,3,Summer
2016,2016 Summer Olympics,Ireland,0,2,0,2,Summer
2016,2016 Summer Olympics,Islamic Republic of Iran,3,1,4,8,Summer
2016,2016 Summer Olympics,Israel,0,0,2,2,Summer
2016,2016 Summer Olympics,Italy,8,12,8,28,Summer
2016,2016 Summer Olympics,Jamaica,6,3,2,11,Summer
2016,2016 Summer Olympics,Japan,12,8,21,41,Summer
2016,2016 Summer Olympics,Jordan,1,0,0,1,Summer
2016,2016 Summer Olympics,Kazakhstan,2,5,10,17,Summer
2016,2016 Summer Olympics,Kenya,6,6,1,13,Summer
2016,2016 Summer Olympics,Kosovo,1,0,0,1,Summer
2016,2016 Summer Olympics,Lithuania,0,1,3,4,Summer
2016,2016 Summer Olympics,Malaysia,0,4,1,5,Summer
2016,2016 Summer Olympics,Mexico,0,3,2,5,Summer
2016,2016 Summer Olympics,Mongolia,0,1,1,2,Summer
2016,2016 Summer Olympics,Morocco,0,0,1,1,Summer
2016,2016 Summer Olympics,Netherlands,8,7,4,19,Summer
2016,2016 Summer Olympics,New Zealand,4,9,5,18,Summer
2016,2016 Summer Olympics,Niger,0,1,0,1,Summer
2016,2016 Summer Olympics,Nigeria,0,0,1,1,Summer
2016,2016 Summer Olympics,Norway,0,0,4,4,Summer
2016,2016 Summer Olympics,People's Republic of China,26,18,26,70,Summer
2016,2016 Summer Olympics,Philippines,0,1,0,1,Summer
2016,2016 Summer Olympics,Poland,2,3,6,11,Summer
2016,2016 Summer Olympics,Portugal,0,0,1,1,Summer
2016,2016 Summer Olympics,Puerto Rico,1,0,0,1,Summer
2016,2016 Summer Olympics,Qatar,0,1,0,1,Summer
2016,2016 Summer Olympics,Republic of Korea,9,3,9,21,Summer
2016,2016 Summer Olympics,Romania,1,1,2,4,Summer
2016,2016 Summer Olympics,Russian Federation,19,17,20,56,Summer
2016,2016 Summer Olympics,Serbia,2,4,2,8,Summer
2016,2016 Summer Olympics,Singapore,1,0,0,1,Summer
2016,2016 Summer Olympics,Slovakia,2,2,0,4,Summer
2016,2016 Summer Olympics,Slovenia,1,2,1,4,Summer
2016,2016 Summer Olympics,South Africa,2,6,2,10,Summer
2016,2016 Summer Olympics,Spain,7,4,6,17,Summer
2016,2016 Summer Olympics,Sweden,2,6,3,11,Summer
2016,2016 Summer Olympics,Switzerland,3,2,2,7,Summer
2016,2016 Summer Olympics,Tajikistan,1,0,0,1,Summer
2016,2016 Summer Olympics,Thailand,2,2,2,6,Summer
2016,2016 Summer Olympics,The Bahamas,1,0,1,2,Summer
2016,2016 Summer Olympics,Trinidad and Tobago,0,0,1,1,Summer
2016,2016 Summer Olympics,Tunisia,0,0,3,3,Summer
2016,2016 Summer Olympics,Türkiye,1,3,4,8,Summer
2016,2016 Summer Olympics,Ukraine,2,5,4,11,Summer
2016,2016 Summer Olympics,United Arab Emirates,0,0,1,1,Summer
2016,2016 Summer Olympics,United States,46,37,38,121,Summer
2016,2016 Summer Olympics,Uzbekistan,4,2,7,13,Summer
2016,2016 Summer Olympics,Venezuela,0,2,1,3,Summer
2016,2016 Summer Olympics,Vietnam,1,1,0,2,Summer
2018,2018 Winter Olympics,Australia,0,2,1,3,Winter
2018,2018 Winter Olympics,Austria,5,3,6,14,Winter
2018,2018 Winter Olympics,Belarus,2,1,0,3,Winter
2018,2018 Winter Olympics,Belgium,0,1,0,1,Winter
2018,2018 Winter Olympics,Canada,11,8,10,29,Winter
2018,2018 Winter Olympics,Czechia,2,2,3,7,Winter
2018,2018 Winter Olympics,Finland,1,1,4,6,Winter
2018,2018 Winter Olympics,France,5,4,6,15,Winter
2018,2018 Winter Olympics,Germany,14,10,7,31,Winter
2018,2018 Winter Olympics,Great Britain,1,0,4,5,Winter
2018,2018 Winter Olympics,Hungary,1,0,0,1,Winter
2018,2018 Winter Olympics,Italy,3,2,5,10,Winter
2018,2018 Winter Olympics,Japan,4,5,4,13,Winter
2018,2018 Winter Olympics,Kazakhstan,0,0,1,1,Winter
2018,2018 Winter Olympics,Latvia,0,0,1,1,Winter
2018,2018 Winter Olympics,Liechtenstein,0,0,1,1,Winter
2018,2018 Winter Olympics,Netherlands,8,6,6,20,Winter
2018,2018 Winter Olympics,New Zealand,0,0,2,2,Winter
2018,2018 Winter Olympics,Norway,14,14,11,39,Winter
2018,2018 Winter Olympics,People's Republic of China,1,6,2,9,Winter
2018,2018 Winter Olympics,Poland,1,0,1,2,Winter
2018,2018 Winter Olympics,ROC,2,6,9,17,Winter
2018,2018 Winter Olympics,Republic of Korea,5,8,4,17,Winter
2018,2018 Winter Olympics,Slovakia,1,2,0,3,Winter
2018,2018 Winter Olympics,Slovenia,0,1,1,2,Winter
2018,2018 Winter Olympics,Spain,0,0,2,2,Winter
2018,2018 Winter Olympics,Sweden,7,6,1,14,Winter
2018,2018 Winter Olympics,Switzerland,5,6,4,15,Winter
2018,2018 Winter Olympics,Ukraine,1,0,0,1,Winter
2018,2018 Winter Olympics,United States,9,8,6,23,Winter
2020,2020 Summer Olympics,Argentina,0,1,2,3,Summer
2020,2020 Summer Olympics,Armenia,0,2,2,4,Summer
2020,2020 Summer Olympics,Australia,17,7,22,46,Summer
2020,2020 Summer Olympics,Austria,1,1,5,7,Summer
2020,2020 Summer Olympics,Azerbaijan,0,3,4,7,Summer
2020,2020 Summer Olympics,Bahrain,0,1,0,1,Summer
2020,2020 Summer Olympics,Belarus,1,3,3,7,Summer
2020,2020 Summer Olympics,Belgium,3,1,3,7,Summer
2020,2020 Summer Olympics,Bermuda,1,0,0,1,Summer
2020,2020 Summer Olympics,Botswana,0,0,1,1,Summer
2020,2020 Summer Olympics,Brazil,7,6,8,21,Summer
2020,2020 Summer Olympics,Bulgaria,3,1,2,6,Summer
2020,2020 Summer Olympics,Burkina Faso,0,0,1,1,Summer
2020,2020 Summer Olympics,Canada,7,7,10,24,Summer
2020,2020 Summer Olympics,Chinese Taipei,2,4,6,12,Summer
2020,2020 Summer Olympics,Colombia,0,4,1,5,Summer
2020,2020 Summer Olympics,Croatia,3,3,2,8,Summer
2020,2020 Summer Olympics,Cuba,7,3,5,15,Summer
2020,2020 Summer Olympics,Czechia,4,4,3,11,Summer
2020,2020 Summer Olympics,Côte d'Ivoire,0,0,1,1,Summer
2020,2020 Summer Olympics,Denmark,3,4,4,11,Summer
2020,2020 Summer Olympics,Dominican Republic,0,3,2,5,Summer
2020,2020 Summer Olympics,Ecuador,2,1,0,3,Summer
2020,2020 Summer Olympics,Egypt,1,1,4,6,Summer
2020,2020 Summer Olympics,Estonia,1,0,1,2,Summer
2020,2020 Summer Olympics,Ethiopia,1,1,2,4,Summer
2020,2020 Summer Olympics,Fiji,1,0,1,2,Summer
2020,2020 Summer Olympics,Finland,0,0,2,2,Summer
2020,2020 Summer Olympics,France,10,12,11,33,Summer
2020,2020 Summer Olympics,Georgia,2,5,1,8,Summer
2020,2020 Summer Olympics,Germany,10,11,16,37,Summer
2020,2020 Summer Olympics,Ghana,0,0,1,1,Summer
2020,2020 Summer Olympics,Great Britain,22,20,22,64,Summer
2020,2020 Summer Olympics,Greece,2,1,1,4,Summer
2020,2020 Summer Olympics,Grenada,0,0,1,1,Summer
2020,2020 Summer Olympics,"Hong Kong, China",1,2,3,6,Summer
2020,2020 Summer Olympics,Hungary,6,7,7,20,Summer
2020,2020 Summer Olympics,India,1,2,4,7,Summer
2020,2020 Summer Olympics,Indonesia,1,1,3,5,Summer
2020,2020 Summer Olympics,Ireland,2,0,2,4,Summer
2020,2020 Summer Olympics,Islamic Republic of Iran,3,2,2,7,Summer
2020,2020 Summer Olympics,Israel,2,0,2,4,Summer
2020,2020 Summer Olympics,Italy,10,10,20,40,Summer
2020,2020 Summer Olympics,Jamaica,4,1,4,9,Summer
2020,2020 Summer Olympics,Japan,27,14,17,58,Summer
2020,2020 Summer Olympics,Jordan,0,1,1,2,Summer
2020,2020 Summer Olympics,Kazakhstan,0,0,8,8,Summer
2020,2020 Summer Olympics,Kenya,4,4,2,10,Summer
2020,2020 Summer Olympics,Kingdom of Saudi Arabia,0,1,0,1,Summer
2020,2020 Summer Olympics,Kosovo,2,0,0,2,Summer
2020,2020 Summer Olympics,Kuwait,0,0,1,1,Summer
2020,2020 Summer Olympics,Kyrgyzstan,0,2,1,3,Summer
2020,2020 Summer Olympics,Latvia,1,0,1,2,Summer
2020,2020 Summer Olympics,Lithuania,0,1,0,1,Summer
2020,2020 Summer Olympics,Malaysia,0,1,1,2,Summer
2020,2020 Summer Olympics,Mexico,0,0,4,4,Summer
2020,2020 Summer Olympics,Mongolia,0,1,3,4,Summer
2020,2020 Summer Olympics,Morocco,1,0,0,1,Summer
2020,2020 Summer Olympics,Namibia,0,1,0,1,Summer
2020,2020 Summer Olympics,Netherlands,10,12,14,36,Summer
2020,2020 Summer Olympics,New Zealand,7,6,7,20,Summer
2020,2020 Summer Olympics,Nigeria,0,1,1,2,Summer
2020,2020 Summer Olympics,North Macedonia,0,1,0,1,Summer
2020,2020 Summer Olympics,Norway,4,2,2,8,Summer
2020,2020 Summer Olympics,People's Republic of China,38,32,19,89,Summer
2020,2020 Summer Olympics,Philippines,1,2,1,4,Summer
2020,2020 Summer Olympics,Poland,4,5,5,14,Summer
2020,2020 Summer Olympics,Portugal,1,1,2,4,Summer
2020,2020 Summer Olympics,Puerto Rico,1,0,0,1,Summer
2020,2020 Summer Olympics,Qatar,2,0,1,3,Summer
2020,2020 Summer Olympics,ROC,20,28,23,71,Summer
2020,2020 Summer Olympics,Republic of Korea,6,4,10,20,Summer
2020,2020 Summer Olympics,Republic of Moldova,0,0,1,1,Summer
2020,2020 Summer Olympics,Romania,1,3,0,4,Summer
2020,2020 Summer Olympics,San Marino,0,1,2,3,Summer
2020,2020 Summer Olympics,Serbia,3,1,5,9,Summer
2020,2020 Summer Olympics,Slovakia,1,2,1,4,Summer
2020,2020 Summer Olympics,Slovenia,3,1,1,5,Summer
2020,2020 Summer Olympics,South Africa,1,2,0,3,Summer
2020,2020 Summer Olympics,Spain,3,8,6,17,Summer
2020,2020 Summer Olympics,Sweden,3,6,0,9,Summer
2020,2020 Summer Olympics,Switzerland,3,4,6,13,Summer
2020,2020 Summer Olympics,Syrian Arab Republic,0,0,1,1,Summer
2020,2020 Summer Olympics,Thailand,1,0,1,2,Summer
2020,2020 Summer Olympics,The Bahamas,2,0,0,2,Summer
2020,2020 Summer Olympics,Tunisia,1,1,0,2,Summer
2020,2020 Summer Olympics,Turkmenistan,0,1,0,1,Summer
2020,2020 Summer Olympics,Türkiye,2,2,9,13,Summer
2020,2020 Summer Olympics,Uganda,2,1,1,4,Summer
2020,2020 Summer Olympics,Ukraine,1,6,12,19,Summer
2020,2020 Summer Olympics,United States,39,41,33,113,Summer
2020,2020 Summer Olympics,Uzbekistan,3,0,2,5,Summer
2020,2020 Summer Olympics,Venezuela,1,3,0,4,Summer
2022,2022 Winter Olympics,Australia,1,2,1,4,Winter
2022,2022 Winter Olympics,Austria,7,7,4,18,Winter
2022,2022 Winter Olympics,Belarus,0,2,0,2,Winter
2022,2022 Winter Olympics,Belgium,1,0,1,2,Winter
2022,2022 Winter Olympics,Canada,4,8,14,26,Winter
2022,2022 Winter Olympics,Czechia,1,0,1,2,Winter
2022,2022 Winter Olympics,Estonia,0,0,1,1,Winter
2022,2022 Winter Olympics,Finland,2,2,4,8,Winter
2022,2022 Winter Olympics,France,5,7,2,14,Winter
2022,2022 Winter Olympics,Germany,12,10,5,27,Winter
2022,2022 Winter Olympics,Great Britain,1,1,0,2,Winter
2022,2022 Winter Olympics,Hungary,1,0,2,3,Winter
2022,2022 Winter Olympics,Italy,2,7,8,17,Winter
2022,2022 Winter Olympics,Japan,3,6,9,18,Winter
2022,2022 Winter Olympics,Latvia,0,0,1,1,Winter
2022,2022 Winter Olympics,Netherlands,8,5,4,17,Winter
2022,2022 Winter Olympics,New Zealand,2,1,0,3,Winter
2022,2022 Winter Olympics,Norway,16,8,13,37,Winter
2022,2022 Winter Olympics,People's Republic of China,9,4,2,15,Winter
2022,2022 Winter Olympics,Poland,0,0,1,1,Winter
2022,2022 Winter Olympics,ROC,6,12,14,32,Winter
2022,2022 Winter Olympics,Republic of Korea,2,5,2,9,Winter
2022,2022 Winter Olympics,Slovakia,1,0,1,2,Winter
2022,2022 Winter Olympics,Slovenia,2,3,2,7,Winter
2022,2022 Winter Olympics,Spain,0,1,0,1,Winter
2022,2022 Winter Olympics,Sweden,8,5,5,18,Winter
2022,2022 Winter Olympics,Switzerland,7,2,6,15,Winter
2022,2022 Winter Olympics,Ukraine,0,1,0,1,Winter
2022,2022 Winter Olympics,United States,8,10,7,25,Winter
2024,2024 Summer Olympics,AIN,1,4,1,6,Summer
2024,2024 Summer Olympics,Albania,0,0,2,2,Summer
2024,2024 Summer Olympics,Algeria,2,0,1,3,Summer
2024,2024 Summer Olympics,Argentina,1,2,16,19,Summer
2024,2024 Summer Olympics,Armenia,0,3,1,4,Summer
2024,2024 Summer Olympics,Australia,33,45,45,123,Summer
2024,2024 Summer Olympics,Austria,3,0,3,6,Summer
2024,2024 Summer Olympics,Azerbaijan,2,2,3,7,Summer
2024,2024 Summer Olympics,Bahrain,2,1,1,4,Summer
2024,2024 Summer Olympics,Belgium,3,1,6,10,Summer
2024,2024 Summer Olympics,Botswana,1,6,0,7,Summer
2024,2024 Summer Olympics,Brazil,4,28,35,67,Summer
2024,2024 Summer Olympics,Bulgaria,3,1,3,7,Summer
2024,2024 Summer Olympics,Cabo Verde,0,0,1,1,Summer
2024,2024 Summer Olympics,Canada,14,29,14,57,Summer
2024,2024 Summer Olympics,Chile,1,1,0,2,Summer
2024,2024 Summer Olympics,China,71,57,40,168,Summer
2024,2024 Summer Olympics,Chinese Taipei,3,0,5,8,Summer
2024,2024 Summer Olympics,Colombia,0,3,1,4,Summer
2024,2024 Summer Olympics,Croatia,3,14,3,20,Summer
2024,2024 Summer Olympics,Cuba,2,1,6,9,Summer
2024,2024 Summer Olympics,Cyprus,0,1,0,1,Summer
2024,2024 Summer Olympics,Czechia,4,0,5,9,Summer
2024,2024 Summer Olympics,Côte d'Ivoire,0,0,1,1,Summer
2024,2024 Summer Olympics,DPR Korea,0,4,4,8,Summer
2024,2024 Summer Olympics,Denmark,17,5,20,42,Summer
2024,2024 Summer Olympics,Dominica,1,0,0,1,Summer
2024,2024 Summer Olympics,Dominican Republic,1,0,2,3,Summer
2024,2024 Summer Olympics,EOR,0,0,1,1,Summer
2024,2024 Summer Olympics,Ecuador,1,3,2,6,Summer
2024,2024 Summer Olympics,Egypt,1,1,1,3,Summer
2024,2024 Summer Olympics,Ethiopia,1,3,0,4,Summer
2024,2024 Summer Olympics,Fiji,0,14,0,14,Summer
2024,2024 Summer Olympics,France,53,95,39,187,Summer
2024,2024 Summer Olympics,Georgia,3,3,1,7,Summer
2024,2024 Summer Olympics,Germany,25,50,38,113,Summer
2024,2024 Summer Olympics,Great Britain,40,42,80,162,Summer
2024,2024 Summer Olympics,Greece,1,1,8,10,Summer
2024,2024 Summer Olympics,Grenada,0,0,2,2,Summer
2024,2024 Summer Olympics,Guatemala,1,0,1,2,Summer
2024,2024 Summer Olympics,"Hong Kong, China",2,0,2,4,Summer
2024,2024 Summer Olympics,Hungary,9,12,10,31,Summer
2024,2024 Summer Olympics,IR Iran,3,6,3,12,Summer
2024,2024 Summer Olympics,India,0,1,21,22,Summer
2024,2024 Summer Olympics,Indonesia,2,0,1,3,Summer
2024,2024 Summer Olympics,Ireland,5,0,4,9,Summer
2024,2024 Summer Olympics,Israel,1,9,1,11,Summer
2024,2024 Summer Olympics,Italy,31,29,28,88,Summer
2024,2024 Summer Olympics,Jamaica,1,3,2,6,Summer
2024,2024 Summer Olympics,Japan,27,31,24,82,Summer
2024,2024 Summer Olympics,Jordan,0,1,0,1,Summer
2024,2024 Summer Olympics,Kazakhstan,1,3,4,8,Summer
2024,2024 Summer Olympics,Kenya,4,2,5,11,Summer
2024,2024 Summer Olympics,Korea,21,14,23,58,Summer
2024,2024 Summer Olympics,Kosovo,0,1,1,2,Summer
2024,2024 Summer Olympics,Kyrgyzstan,0,2,4,6,Summer
2024,2024 Summer Olympics,Lithuania,0,2,5,7,Summer
2024,2024 Summer Olympics,Malaysia,0,0,3,3,Summer
2024,2024 Summer Olympics,Mexico,0,4,4,8,Summer
2024,2024 Summer Olympics,Mongolia,0,1,0,1,Summer
2024,2024 Summer Olympics,Morocco,1,0,19,20,Summer
2024,2024 Summer Olympics,Netherlands,67,25,26,118,Summer
2024,2024 Summer Olympics,New Zealand,26,18,7,51,Summer
2024,2024 Summer Olympics,Norway,18,1,4,23,Summer
2024,2024 Summer Olympics,Pakistan,1,0,0,1,Summer
2024,2024 Summer Olympics,Panama,0,1,0,1,Summer
2024,2024 Summer Olympics,Peru,0,0,1,1,Summer
2024,2024 Summer Olympics,Philippines,2,0,2,4,Summer
2024,2024 Summer Olympics,Poland,1,16,11,28,Summer
2024,2024 Summer Olympics,Portugal,2,2,1,5,Summer
2024,2024 Summer Olympics,Puerto Rico,0,0,2,2,Summer
2024,2024 Summer Olympics,Qatar,0,0,1,1,Summer
2024,2024 Summer Olympics,Republic of Moldova,0,1,3,4,Summer
2024,2024 Summer Olympics,Romania,12,7,2,21,Summer
2024,2024 Summer Olympics,Saint Lucia,1,1,0,2,Summer
2024,2024 Summer Olympics,Serbia,16,1,12,29,Summer
2024,2024 Summer Olympics,Singapore,0,0,1,1,Summer
2024,2024 Summer Olympics,Slovakia,0,0,1,1,Summer
2024,2024 Summer Olympics,Slovenia,2,1,0,3,Summer
2024,2024 Summer Olympics,South Africa,1,7,14,22,Summer
2024,2024 Summer Olympics,Spain,40,7,36,83,Summer
2024,2024 Summer Olympics,Sweden,5,7,4,16,Summer
2024,2024 Summer Olympics,Switzerland,1,2,7,10,Summer
2024,2024 Summer Olympics,Tajikistan,0,0,3,3,Summer
2024,2024 Summer Olympics,Thailand,1,3,2,6,Summer
2024,2024 Summer Olympics,Tunisia,1,1,1,3,Summer
2024,2024 Summer Olympics,Türkiye,0,4,7,11,Summer
2024,2024 Summer Olympics,Uganda,1,1,0,2,Summer
2024,2024 Summer Olympics,Ukraine,6,6,4,16,Summer
2024,2024 Summer Olympics,United States,134,101,95,330,Summer
2024,2024 Summer Olympics,Uzbekistan,8,2,3,13,Summer
2024,2024 Summer Olympics,Zambia,0,0,1,1,Summer
